,Date,SP week %change,SP5 MACD,USDX %change,USTB %change,sp volatility,DJI MACD,Bull-Bear Spread,cat bull-bear,IXIC MACD
552,2010-12-02,0.005284522350862209,5.054984499,0.020411792350976125,-0.00395159298592245,0.017146600114421085,23.724282100000003,0.2345,1,17.86370313
553,2010-12-09,0.018415183198321854,10.83758046,-0.003124377614021171,-0.019340441358789984,0.03944540332823138,64.07106871,0.3049,1,30.33147431
554,2010-12-16,0.010836291399355151,13.68746207,0.0057938440407067325,-0.020733249051833123,0.005138572314532261,88.35627129,0.2308,1,34.40165441
555,2010-12-23,0.013893475301830717,15.53887183,0.0035133893654794137,-0.0049057578104828295,0.003535000476629314,98.74271478,0.4688,1,37.81566898
556,2010-12-30,0.0007467192018048796,14.8979364,-0.01279196357878058,0.00467047223663726,0.003032275476670479,95.49432505,0.3156,1,33.99167444
557,2011-01-06,0.01331978599437995,15.44455992,0.016228476904183085,-0.0074896694214876035,0.0183618474650624,106.2332418,0.3763,1,33.96132114
558,2011-01-13,0.0073635395124397535,14.75580074,-0.020803275251871277,0.011449388498568826,0.00872499922237068,96.12657581,0.289,1,35.83508622
559,2011-01-20,0.007045320227689777,14.05441881,-0.005314459864494008,-0.01646514021095961,0.004555914194375271,105.91734890000001,0.2165,1,32.83133199
560,2011-01-27,0.001243224042872023,13.42841289,-0.014306695026840822,0.010462987182840701,0.005992457370259813,129.8399504,0.0775,1,26.17309727
561,2011-02-03,0.005707102257390206,12.42603786,0.00016697921750976483,-0.013461040641988092,0.025888974946895387,122.08777620000001,0.2467,1,21.29408218
562,2011-02-10,0.015751171368756825,15.10533827,0.005907508957581437,-0.01338231435318814,0.006673863970949001,149.9741468,0.2249,1,28.948772899999998
563,2011-02-17,0.008870803355051074,16.72624214,-0.003344951293934409,0.01648936170212766,0.006061422413793036,149.96483600000002,0.2101,1,34.09664549
564,2011-02-24,0.005006285919540271,10.29511531,-0.012412732978927742,0.017530088958660386,0.004430346758400939,101.9771924,0.0049,0,15.67721835
565,2011-03-03,-0.011757172321873972,6.910574876,-0.0077954757704679755,-0.012856775520699408,0.008694865960428537,62.19414042,0.0363,0,9.284591814
566,2011-03-10,-0.004068654782176347,2.712795532,0.01018367213543364,0.016150039072675176,0.014896128065848644,30.41590631,0.0365,0,-1.63523989
567,2011-03-17,-0.013269582847891516,-7.512431792999999,-0.012086859745839448,0.013073570879261727,0.016491857576593976,-62.26917099999999,-0.1163,0,-26.40886356
568,2011-03-24,-0.004523568558898292,-4.094405111,-0.005920880272465263,-0.022267206477732792,0.006069101495709947,-15.89733432,0.0277,0,-17.96586168
569,2011-03-31,0.02301329348880904,3.475943995,0.002424625764284175,-0.004658385093167702,0.00741571680243319,57.51828681,0.1074,1,3.948003307
570,2011-04-07,0.005480854651950652,8.127613213,-0.003444105584183411,-0.012740509620384815,0.007854500801174063,97.86841064,0.1474,1,17.47183462
571,2011-04-14,-0.015821315722479207,3.974879147,-0.012161983907136222,0.008691071898867527,0.023029343964212065,66.19615653,0.1126,1,10.15844668
572,2011-04-21,0.012134722042589311,3.780162662,-0.009454118149770301,0.011227154046997388,0.010177696262665889,65.87691938,0.0117,0,11.71047953
573,2011-04-28,0.01268829489762178,9.565287311,-0.011714747910487999,0.009036922282468371,0.009500905555060684,119.60346000000001,0.0725,1,27.74564305
574,2011-05-05,0.012150767495026788,9.566933704,0.014513510932874915,0.017656090071647902,0.008719501910370174,135.8382792,0.0359,0,24.22983163
575,2011-05-12,-0.0047300914484345365,7.299160902000001,0.014010084033613467,-0.0037716872014080965,0.008178844056706751,106.7460013,-0.0473,0,22.78373079
576,2011-05-19,-0.00627044711014176,2.899387864,-0.001856345386318742,0.006562342251388188,0.013116820524227971,48.61703315,-0.146,0,7.218315614
577,2011-05-26,-0.003744485225966842,-2.629815962,0.004715915884001806,0.01078234704112337,0.007785055075915479,-17.00827847,-0.1581,0,-8.230603532
578,2011-06-02,-0.021621018160166684,-3.581267861,-0.016619949227840134,0.0017365418010419251,0.023422463961051285,-41.99956845,-0.0325,0,-6.894967925
579,2011-06-09,-0.010946711802517875,-12.49415703,-0.0023394957983192254,0.0024764735017335313,0.011567807039133616,-111.95874509999999,-0.2325,0,-29.08657452
580,2011-06-16,-0.008583558946591251,-16.58523355,0.027263783506960577,0.008893280632411068,0.011567106283940927,-144.2221739,-0.1375,0,-43.73578002
581,2011-06-23,0.005058184639255223,-11.65153253,-0.004198152812762296,-0.00930460333006856,0.009123749536865457,-96.72577448,0.0172,0,-33.59937806
582,2011-06-30,0.009177781894528916,-3.751035575,-0.01671848650927476,-0.02694018783984182,0.009453805615683012,-29.62625221,0.0812,1,-7.800750624
583,2011-07-07,0.0246747386053342,8.602957252000001,0.008333891605814964,0.002032004064008128,0.005008696171445234,86.21804737,0.1709,1,25.50989257
584,2011-07-14,-0.016384632036247765,5.6983358079999995,0.0040527791434682835,0.02053231939163498,0.032745955134626546,82.1047761,0.1006,1,22.26672117
585,2011-07-21,0.006162158880490461,6.33475113,-0.01761467404250799,-0.005712866368604074,0.026028781753454407,90.63567854,0.0925,1,22.54381407
586,2011-07-28,-0.01580130332468459,2.949903773,0.0021554337136775277,0.007744191856107919,0.033343806757657725,31.84589316,0.0642,1,15.49621251
587,2011-08-04,-0.034140808803807356,-16.40202921,0.013025769246279711,0.05899851264253842,0.06487138391227763,-146.93717,-0.2269,0,-25.24103281
588,2011-08-11,-0.11074789342558353,-42.46842448,-0.007298301486199537,0.012874531835205993,0.14159142010778406,-362.46525410000004,-0.1135,0,-85.99429487
589,2011-08-18,0.06524144330632796,-37.26916119,-0.006616762464911169,0.03258608735844696,0.07301403826180192,-305.34556769999995,-0.0426,0,-81.23605309
590,2011-08-25,-0.028989513183904685,-34.38956074,0.0006324429792100793,-0.01477170993733214,0.06002915627938284,-271.8663966,-0.0452,0,-80.68003118
591,2011-09-01,0.051428916473297955,-14.17329576,0.0026223070923322048,0.00817810086324398,0.07777568115252398,-111.1675369,0.0628,1,-31.251887699999997
592,2011-09-08,-0.016629884567106307,-12.09510894,0.02407553952009874,0.01915277151870212,0.074385543374881,-103.8027577,-0.1007,0,-22.33626822
593,2011-09-15,-0.008292870133987275,-8.593765435,-0.0011132648784577738,-0.006632765863365023,0.05748393175623393,-96.8514617,-0.1085,0,-4.754776047
594,2011-09-22,-0.018440623212302783,-8.944882717999999,0.037145816670381665,0.040284887602937906,0.05395282663101242,-98.59636438,-0.2267,0,-1.22761056
595,2011-09-29,-0.01345606637183315,-11.24633396,-0.006283185840707784,-0.02717158750534874,0.09223672093548561,-101.419481,-0.1428,0,-10.93366348
596,2011-10-06,-0.00609872639132624,-14.58443835,0.006170247954912654,0.002419177479656917,0.10584420125170442,-116.3192908,-0.1048,0,-26.32040732
597,2011-10-13,0.055251564630607354,1.660553762,-0.022810034392069797,-0.020403685827117157,0.12050528059639679,26.58704136,0.0341,0,10.69245502
598,2011-10-20,0.002178504866432064,10.85746814,-0.0006210858651206927,-0.003807390817469205,0.0378549938836909,90.07212993,0.0138,0,28.64408718
