Date,SP5 High,SP5 Low,SP5 Close,SP5 12 day SMA,SP5 26 day SMA,SP5 12 day EMA,SP5 26 day EMA,SP5 MACD
5/31/96,673.460022,667,669.119995,671.5833283,660.0665378,669.07352,662.7739732,6.299546815
6/3/96,669.119995,665.190002,667.679993,671.7716624,660.6361531,668.8591312,663.1373821,5.72174917
6/4/96,672.599976,667.679993,672.559998,672.4141643,661.3707675,669.4284954,663.8353536,5.593141737
6/5/96,678.450012,672.090027,678.440002,673.2083333,662.3046148,670.814881,664.9171794,5.897701569
6/6/96,680.320007,673.02002,673.030029,673.1983338,663.0300012,671.155673,665.5181312,5.63754175
6/7/96,673.309998,662.47998,673.309998,673.2441661,663.7503851,671.4871076,666.0953066,5.391801051
6/10/96,673.609985,670.150024,672.159973,672.7224986,664.8573069,671.5906254,666.5445411,5.046084252
6/11/96,676.719971,669.940002,670.969971,672.3033295,665.9857672,671.4951401,666.8723507,4.622789344
6/12/96,673.669983,668.77002,669.039978,671.5141602,667.0715356,671.1174228,667.0329157,4.084507119
6/13/96,670.539978,665.48999,667.919983,671.1549938,668.2123038,670.625509,667.0986244,3.526884611
6/14/96,668.400024,664.349976,665.849976,670.981659,669.0230713,669.8908116,667.0061319,2.884679699
6/17/96,668.27002,664.090027,665.159973,670.4366558,669.7815318,669.1629903,666.8693794,2.293610885
6/18/96,666.359985,661.340027,662.059998,669.8483227,670.1649922,668.0702223,666.5131289,1.557093314
6/19/96,665.619995,661.210022,661.960022,669.3716584,670.1823003,667.1301914,666.1758618,0.954329686
6/20/96,664.960022,658.75,662.099976,668.4999899,670.047685,666.3563121,665.8739443,0.482367851
6/21/96,666.840027,662.099976,666.840027,667.5333253,670.102302,666.4307298,665.945506,0.485223839
6/24/96,671.070007,666.840027,668.849976,667.1849876,670.2561482,666.8029215,666.1606519,0.642269632
6/25/96,670.650024,667.289978,668.47998,666.7824861,670.23961,667.0609305,666.332454,0.728476545
6/26/96,668.48999,663.669983,664.390015,666.1349896,669.9026866,666.6500204,666.1885696,0.461450833
6/27/96,668.900024,661.559998,668.549988,665.9333243,669.7407627,666.9423231,666.3634895,0.578833653
6/28/96,672.679993,668.549988,670.630005,666.0658266,669.4411481,667.5096588,666.6795277,0.830131137
7/1/96,675.880005,670.630005,675.880005,666.7291618,669.4365329,668.7974044,667.3610445,1.436359865
7/2/96,675.880005,672.549988,673.609985,667.3758292,669.2480704,669.5378014,667.823929,1.713872402
7/3/96,673.640015,670.210022,672.400024,667.9791668,669.2546106,669.9781433,668.162899,1.815244341
7/5/96,672.400024,657.409973,657.440002,667.5941671,668.8511494,668.0491985,667.3686103,0.680588186
7/8/96,657.650024,651.130005,652.539978,666.8091634,668.114225,665.6631646,666.2701931,-0.607028531
7/9/96,656.599976,652.539978,654.75,666.1966654,667.5615329,663.9842162,665.4168455,-1.432629291
7/10/96,656.27002,648.390015,656.059998,665.2983297,667.11461,662.7651057,664.7237457,-1.958639968
7/11/96,656.059998,639.52002,645.669983,663.3666636,666.0803787,660.1350868,663.3123558,-3.177269018
7/12/96,647.640015,640.210022,646.190002,661.5091654,664.839994,657.9896892,662.0440333,-4.054344177
7/15/96,646.190002,629.690002,629.799988,658.6266632,663.1773002,653.6528121,659.6555855,-6.002773476
7/16/96,631.98999,605.880005,628.369995,655.2783304,661.4488385,649.7631479,657.3381344,-7.574986488
7/17/96,636.609985,628.369995,634.070007,652.2316639,659.9838398,647.3488185,655.6145694,-8.265750865
7/18/96,644.440002,633.289978,643.559998,649.53833,658.9296101,646.7659231,654.7216382,-7.955715116
7/19/96,643.51001,635.5,638.72998,646.6316629,657.7638409,645.5296241,653.5370709,-8.007446776
7/22/96,638.72998,630.380005,633.77002,643.4124959,656.4503808,643.7204543,652.0728449,-8.352390649
7/23/96,637.700012,625.650024,626.869995,640.8649953,654.9511508,641.1280759,650.2059671,-9.077891226
7/24/96,629.099976,616.429993,626.650024,638.7074992,653.4699989,638.9006833,648.4610825,-9.560399151
7/25/96,633.570007,626.650024,631.169983,636.7424978,652.2819214,637.7113448,647.1802603,-9.468915479
7/26/96,636.22998,631.169983,635.900024,635.0624999,651.2796138,637.4326801,646.3446872,-8.91200716
7/29/96,635.900024,630.900024,630.909973,633.8324991,650.0799983,636.4291867,645.2013751,-8.772188389
7/30/96,635.26001,629.219971,635.26001,632.9216664,648.8653822,636.2493133,644.4649776,-8.215664311
7/31/96,640.539978,633.73999,639.950012,633.7675018,647.7538452,636.8186516,644.1305357,-7.311884156
8/1/96,650.659973,639.48999,650.02002,635.5716705,647.0438467,638.8496313,644.5667938,-5.717162493
8/2/96,662.48999,650.02002,662.48999,637.9400024,646.9707688,642.4866096,645.894438,-3.407828399
