Date,Open,High,Low,Close,Adj Close,Volume,DJI 12 day SMA,DJI 26 day SMA,DJI 12 day EMA,DJI 26 day EMA,DJI MACD
6/9/99,10765.63965,10790.01953,10672.55957,10690.29004,10690.29004,77250000,10659.79826,10810.2162,10725.77969,10712.54942,13.23026892
6/10/99,10690.29004,10690.29004,10526.29004,10621.26953,10621.26953,86330000,10657.01489,10800.03001,10709.7012,10705.78794,3.913256529
6/11/99,10618.23047,10691.55957,10430.66992,10490.50977,10490.50977,77530000,10653.63322,10782.14923,10675.97944,10689.84141,-13.86197097
6/14/99,10490.83008,10606.38965,10486.70996,10563.33008,10563.33008,67040000,10642.06405,10767.3996,10658.64877,10680.4702,-21.82143235
6/15/99,10563.33008,10682.05957,10562.05957,10594.99023,10594.99023,73190000,10652.73576,10750.60731,10648.85515,10674.13835,-25.28320381
6/16/99,10598.54004,10800.46973,10598.21973,10784.9502,10784.9502,86490000,10671.50326,10742.05732,10669.79285,10682.34664,-12.55378907
6/17/99,10777.71973,10870.44043,10714.34961,10841.62988,10841.62988,70150000,10691.95076,10734.96037,10696.22932,10694.1454,2.08391883
6/18/99,10847.63965,10888.49023,10811.54981,10855.55957,10855.55957,111100000,10715.08993,10729.39074,10720.74166,10706.102,14.63966024
6/21/99,10854.75,10880.25,10755.83008,10815.98047,10815.98047,74690000,10727.78076,10718.19035,10735.39379,10714.24115,21.15263863
6/22/99,10815.98047,10815.98047,10708.65039,10721.62988,10721.62988,67370000,10721.26326,10710.81765,10733.27626,10714.78846,18.4878013
6/23/99,10721.62988,10725.12012,10616.83984,10666.86035,10666.86035,68710000,10701.0533,10703.64036,10723.05843,10711.23823,11.8201992
6/24/99,10666.86035,10666.86035,10471.2002,10534.83008,10534.83008,78750000,10681.81917,10692.02036,10694.10022,10698.17096,-4.070738264
6/25/99,10542.42969,10650.40039,10538,10552.55957,10552.55957,62020000,10670.34163,10679.14228,10672.32474,10687.38493,-15.06019431
6/28/99,10555.87988,10692.50977,10555.87988,10655.15039,10655.15039,71640000,10673.16504,10671.00421,10669.68253,10684.99719,-15.31465769
6/29/99,10655.45996,10815.34961,10633.92969,10815.34961,10815.34961,82390000,10700.23503,10670.46841,10692.09285,10694.65292,-2.560072779
6/30/99,10813.88965,11003.41016,10731.4502,10970.79981,10970.79981,125380000,10734.19084,10682.62725,10734.97084,10715.10825,19.86259568
7/1/99,10966.04981,11080.34961,10903.67969,11066.41992,11066.41992,100670000,10773.47664,10703.21687,10785.96301,10741.13133,44.83167466
7/2/99,11065.15039,11139.55957,11058.82031,11139.24023,11139.24023,65820000,10803.00081,10720.02764,10840.31335,10770.62088,69.69246883
7/6/99,11137.46973,11236.75977,11104.09961,11135.12012,11135.12012,78110000,10827.45833,10745.72728,10885.66824,10797.62083,88.04741256
7/7/99,11135.12012,11187.36035,11080.34961,11187.36035,11187.36035,81750000,10855.1084,10769.86651,10932.08241,10826.49042,105.5919893
7/8/99,11182.62012,11211.11035,11092.07031,11126.88965,11126.88965,97370000,10881.0175,10790.27535,10962.05275,10848.74222,113.3105391
7/9/99,11125.62988,11194.33008,11124.04004,11193.7002,11193.7002,88430000,10920.35669,10813.96037,10997.69082,10874.29466,123.3961639
7/12/99,11193.37988,11230.74023,11149.69043,11200.98047,11200.98047,75300000,10964.8667,10834.62538,11028.96615,10898.49361,130.4725453
7/13/99,11200.03027,11211.11035,11085.09961,11175.01953,11175.01953,80110000,11018.21582,10849.05536,11051.4359,10918.97701,132.4588941
7/14/99,11177.54981,11209.20996,11112.00977,11148.09961,11148.09961,72720000,11067.84416,10858.23689,11066.30724,10935.94905,130.358189
7/15/99,11149.37012,11217.75977,11149.37012,11186.41016,11186.41016,83290000,11112.1158,10874.42037,11084.78461,10954.50173,130.2828861
7/16/99,11186.34961,11213.33008,11143.04004,11209.83984,11209.83984,80450000,11144.98999,10894.40306,11104.02388,10973.41566,130.6082178
7/19/99,11209.83984,11252.26953,11159.82031,11187.67969,11187.67969,79780000,11163.06331,10916.18806,11116.894,10989.28707,127.6069328
7/20/99,11188,11188.62988,10969.54004,10996.12988,10996.12988,88320000,11157.20581,10935.63499,11098.31491,10989.79395,108.5209623
7/21/99,10998.94043,11055.96973,10945.48047,11002.78027,11002.78027,85190000,11145.83415,10952.53692,11083.61727,10990.7559,92.86137591
7/22/99,11002.78027,11044.25977,10880.25,10969.21973,10969.21973,84310000,11132.00911,10966.93036,11066.01765,10989.16062,76.85702536
7/23/99,10969.21973,11006.58008,10861.88965,10910.95996,10910.95996,64990000,11108.97575,10971.77689,11042.16262,10983.36798,58.79463803
7/26/99,10907.79981,10929.33008,10831.80957,10863.16016,10863.16016,69510000,11086.99829,10972.60498,11014.62378,10974.4637,40.16008075
7/27/99,10862.83984,11031.28027,10862.83984,10979.04004,10979.04004,73550000,11069.10994,10977.35423,11009.14936,10974.80269,34.34667092
7/28/99,10970.79981,11023.99023,10925.84961,10972.07031,10972.07031,65370000,11050.0341,10983.35768,11003.44489,10974.60029,28.8446005
7/29/99,10971.36035,10971.36035,10714.03027,10791.29004,10791.29004,74600000,11018.05664,10986.03692,10970.80568,10961.02175,9.783929736
7/30/99,10791.29004,10825.79981,10647.86035,10655.15039,10655.15039,82550000,10976.97754,10985.58654,10922.24333,10938.36461,-16.12128486
8/2/99,10654.83008,10791.59961,10615.25,10645.95996,10645.95996,68670000,10931.94002,10989.86076,10879.7382,10916.70501,-36.96681453
8/3/99,10645.95996,10727.96973,10613.99023,10677.30957,10677.30957,76710000,10887.5625,10994.65884,10848.59533,10898.97201,-50.37668447
8/4/99,10675.66016,10829.91016,10670.03027,10674.76953,10674.76953,88660000,10844.81999,10995.41342,10821.8529,10882.36442,-60.51152375
8/5/99,10675.41016,10798.25,10566.17969,10793.82031,10793.82031,124250000,10827.96086,10994.58537,10817.54019,10875.8056,-58.26540641
8/6/99,10792.58008,10818.2002,10653.25,10714.03027,10714.03027,84820000,10803.89836,10984.70962,10801.61559,10863.82224,-62.20665206
8/9/99,10714.03027,10761.83984,10683.32031,10707.7002,10707.7002,81310000,10782.10506,10970.91271,10787.16707,10852.25765,-65.09057836
8/10/99,10704.21973,10714.66992,10549.08008,10655.15039,10655.15039,98920000,10760.7876,10952.29387,10766.85681,10837.65711,-70.80029896
8/11/99,10650.58984,10795.71973,10646.91016,10787.79981,10787.79981,85160000,10754.50757,10938.9354,10770.07881,10833.96398,-63.88516613
8/12/99,10785.65039,10900.83008,10780.83984,10789.38965,10789.38965,71310000,10738.70337,10923.62883,10773.04971,10830.66217,-57.61246585
8/13/99,10786.7002,10981.88965,10786.7002,10973.65039,10973.65039,77850000,10738.83504,10917.73501,10803.91135,10841.25389,-37.34254208
8/16/99,10980.11035,11046.79004,10950.86035,11046.79004,11046.79004,65130000,10760.12671,10912.08462,10841.2773,10856.47879,-15.20148981
8/17/99,11049.63965,11117.08008,11011.65039,11117.08008,11117.08008,84280000,10798.62085,10908.85768,10883.7085,10875.78259,7.925907421
8/18/99,11109.66016,11110.91992,10982.83984,10991.37988,10991.37988,85320000,10827.40584,10901.79462,10900.27333,10884.34535,15.92797337
8/19/99,10988.84961,10995.5,10873.29004,10963.83984,10963.83984,87200000,10851.28337,10894.70771,10910.05279,10890.23383,19.81895671
8/20/99,10963.83984,11100.61035,10963.83984,11100.61035,11100.61035,104090000,10886.7701,10891.40771,10939.36934,10905.81728,33.55205874
8/23/99,11099.66016,11299.75977,11098.08008,11299.75977,11299.75977,85070000,10928.93172,10894.86617,10994.81402,10934.99821,59.81581491
8/24/99,11297.54004,11365.92969,11194.00977,11283.29981,11283.29981,83020000,10976.37085,10898.54387,11039.19645,10960.79832,78.39812483
8/25/99,11282.37988,11334.58984,11198.4502,11326.04004,11326.04004,99870000,11027.89917,10911.23272,11083.32623,10987.85327,95.47296608
8/26/99,11326.04004,11333,11191.48047,11198.4502,11198.4502,74930000,11073.17415,10918.75849,11101.03761,11003.45304,97.58457248
8/27/99,11198.4502,11229.16016,11077.82031,11090.16992,11090.16992,60340000,11098.37166,10923.41042,11099.36566,11009.87651,89.48914749
8/30/99,11087.69043,11123.08984,10902.09961,10914.12988,10914.12988,70320000,11108.76668,10923.53234,11070.86785,11002.78417,68.08367867
8/31/99,10909.7002,10982.2002,10782.11035,10829.28027,10829.28027,100530000,11096.73584,10922.22927,11033.70053,10989.93203,43.76849998
9/1/99,10828.44043,10941.36035,10828.44043,10937.87988,10937.87988,80830000,11087.65999,10920.64618,11018.95889,10986.07631,32.88257673
9/2/99,10934.08008,10934.08008,10732.70996,10843.20996,10843.20996,77110000,11064.83748,10915.69002,10991.92059,10975.49362,16.4269727
9/3/99,10856.19043,11087,10856.19043,11078.4502,11078.4502,79660000,11072.09334,10926.73464,11005.23284,10983.12003,22.11280618
9/7/99,11079.08008,11104.09961,11011.95996,11034.12988,11034.12988,79910000,11077.95085,10941.31077,11009.67854,10986.89854,22.77999777
9/8/99,11034.12988,11117.38965,10967,11036.33984,11036.33984,86070000,11072.59497,10956.32538,11013.78028,10990.56086,23.21941829
9/9/99,11031.28027,11095.86035,10981.88965,11079.40039,11079.40039,78920000,11054.23169,10971.79041,11023.87568,10997.14157,26.73411426
9/10/99,11087,11142.41016,11023.99023,11028.42969,11028.42969,70470000,11032.99251,10985.39273,11024.5763,10999.4592,25.11709219
9/13/99,11027.40039,11042.36035,10982.2002,11030.33008,11030.33008,67130000,11008.35002,10994.48926,11025.46149,11001.74594,23.71555794
9/14/99,11028.74023,11028.74023,10886.26953,10910.33008,10910.33008,74200000,10984.34001,11002.03925,11007.74897,10994.97439,12.77457746
9/15/99,10910.40039,11013.86035,10798.57031,10801.41992,10801.41992,78970000,10960.27751,11005.64386,10976.00604,10980.63702,-4.630984675
9/16/99,10795.76953,10799.25,10626.65039,10737.45996,10737.45996,77200000,10945.55501,11008.80961,10939.30664,10962.62391,-23.31726546
9/17/99,10745.37988,10860.94043,10745.05957,10803.62988,10803.62988,102600000,10943.41748,11009.41846,10918.43329,10950.84657,-32.41327783
9/20/99,10801.87012,10845.74023,10780.83984,10823.90039,10823.90039,57670000,10933.91919,11010.74579,10903.88977,10941.44315,-37.55338057
9/21/99,10822.9502,10822.9502,10551.92969,10598.46973,10598.46973,82630000,10913.52417,10996.31577,10856.90207,10916.03771,-59.13564076
9/22/99,10599.41992,10606.07031,10493.99023,10524.07031,10524.07031,95220000,10867.32585,10976.21116,10805.69719,10887.00309,-81.30590452
9/23/99,10524.07031,10572.50977,10302.12988,10318.58984,10318.58984,99500000,10807.69751,10945.5,10730.75759,10844.89841,-114.1408106
9/24/99,10311.94043,10336.32031,10187.2002,10279.33008,10279.33008,94080000,10744.61336,10918.11347,10661.30721,10803.00446,-141.6972476
9/27/99,10279.33008,10402.49023,10279.33008,10303.38965,10303.38965,79050000,10679.9458,10892.71154,10606.24297,10765.99595,-159.7529833
9/28/99,10300.50977,10310.04004,10081.12988,10275.53027,10275.53027,93520000,10617.20418,10860.97769,10555.36409,10729.66516,-174.3010685
9/29/99,10274.26953,10334.74023,10210.94043,10213.48047,10213.48047,88810000,10549.13338,10819.19772,10502.76661,10691.42926,-188.6626458
9/30/99,10214.11035,10402.80957,10212.83984,10336.9502,10336.9502,108360000,10501.35173,10782.79965,10477.25639,10665.17155,-187.9151554
10/1/99,10335.69043,10335.69043,10184.03027,10273,10273,109890000,10457.31673,10742.29811,10445.83233,10636.1218,-190.2894715
10/4/99,10274.58008,10417.69043,10274.26953,10401.23047,10401.23047,99080000,10429.29761,10711.63582,10438.97051,10618.72245,-179.7519386
10/5/99,10401.23047,10509.19043,10277.11035,10400.58984,10400.58984,118510000,10395.71094,10685.11351,10433.06579,10602.56448,-169.4986855
10/6/99,10399.76953,10588.33984,10399.4502,10588.33984,10588.33984,100930000,10376.08089,10672.58312,10456.95411,10601.5108,-144.5566931
10/7/99,10588.33984,10604.49023,10508.24023,10537.04981,10537.04981,87860000,10370.96257,10661.34349,10469.27652,10596.73591,-127.4593894
10/8/99,10534.51953,10655.78027,10506.33984,10649.75977,10649.75977,96890000,10381.43669,10650.26194,10497.04317,10600.6636,-103.6204294
10/11/99,10649.75977,10719.09961,10634.87988,10648.17969,10648.17969,71710000,10408.90251,10642.76078,10520.29495,10604.18331,-83.88836798
10/12/99,10648.80957,10648.80957,10417.05957,10417.05957,10417.05957,77470000,10420.37996,10617.32268,10504.41258,10590.3223,-85.90971542
10/13/99,10412.30957,10443.01953,10226.45996,10232.16016,10232.16016,92230000,10414.44417,10586.47769,10462.52759,10563.79177,-101.2641749
10/14/99,10230.88965,10342.96973,10133.69043,10286.61035,10286.61035,10030000,10415.36751,10557.64194,10435.4634,10543.25981,-107.796409
